brand,model,years,curb_weight_kg,notes
"Hongqi","HS5 (2.0T, AWD)","2019–наст.","1825","Среднеразмерный кроссовер, 2.0T (224 л.с.), полный привод, 8-ст. АКПП"
"Hongqi","HS7 (2.0T, FWD)","2019–наст.","1995","Большой кроссовер, 2.0T (224 л.с.), передний привод, 7-ст. DCT"
"Hongqi","HS7 (2.0T, AWD)","2019–наст.","2120","Большой кроссовер, 2.0T (224 л.с.), полный привод, 8-ст. АКПП"
"Hongqi","HS7 PHEV","2024–наст.","2290","Подзаряжаемый гибрид, 2.0T + э/м, запас хода на электротяге 85 км"
"Hongqi","LS7 (4.0T V8)","2022–наст.","3100","Полноразмерный рамный внедорожник, 4.0T V8 (360 л.с.), 8-ст. АКПП"
"Hongqi","E-HS9 (RWD)","2020–наст.","2600","Электрический кроссовер, 218 л.с., батарея 120 кВт·ч, запас хода 690 км"
"Hongqi","E-HS9 (AWD)","2020–наст.","2750","Электрический кроссовер, 435 л.с., полный привод, разгон 0-100 за 5.0 с"
"Hongqi","EH7 (RWD)","2024–наст.","2300","Электрический седан, 344 л.с., запас хода до 760 км. Масса оценочная."
"Hongqi","EH7 (AWD)","2024–наст.","2450","Электрический седан, 619 л.с., полный привод, разгон 0-100 за 3.9 с. Масса оценочная."
"Hyundai","Elantra (2.0 MPI, IVT)","2025–наст.","1300","Компактный седан, 2.0L (147 л.с.), IVT. Масса: 2,725–2,868 lbs (1,237–1,300 кг)"
"Hyundai","Elantra N Line (1.6T)","2025–наст.","1370","Спортивный седан, 1.6T (201 л.с.), 7-ст. DCT. Масса: 3,020 lbs (1,370 кг)"
"Hyundai","Sonata (2.5 MPI)","2025–наст.","1500","Бизнес-седан, 2.5L (191 л.с.), 8-ст. АКПП. Масса: 3,305 lbs (1,500 кг)"
"Hyundai","Sonata N Line (2.5T)","2025–наст.","1603","Спортивный седан, 2.5T (290 л.с.), 8-ст. DCT. Масса: 3,534 lbs (1,603 кг)"
"Hyundai","Sonata Hybrid","2025–наст.","1560","Гибридный седан, 2.0L + э/м (192 л.с.). Масса: 3,439 lbs (1,560 кг)"
"Hyundai","Grandeur/Azera (3.5 V6)","2023–наст.","1580","Представительский седан, 3.5 V6 (296 л.с.), 8-ст. АКПП. Масса: 1,500–1,580 кг"
"Hyundai","Palisade (3.8 V6, FWD)","2025–наст.","1932","Полноразмерный внедорожник, 3.8 V6 (291 л.с.). Масса: 4,259 lbs (1,932 кг)"
"Hyundai","Palisade (3.8 V6, AWD)","2025–наст.","1991","Полноприводный внедорожник, 3.8 V6 (291 л.с.). Масса: 4,389 lbs (1,991 кг)"
"Hyundai","Santa Fe (1.6T Hybrid)","2025–наст.","2015","Среднеразмерный кроссовер, 1.6T + э/м (231 л.с.). Масса: 1,925–2,105 кг (4,423–4,640 lbs)"
"Hyundai","Santa Fe (2.5T)","2025–наст.","1970","Среднеразмерный кроссовер, 2.5T (277 л.с.), 8-ст. DCT. Масса: 4,343 lbs (1,970 кг)"
"Hyundai","Tucson (2.0 MPI)","2025–наст.","1495","Компактный кроссовер, 2.0L (156 л.с.). Масса: 3,296 lbs (1,495 кг)"
"Hyundai","Tucson (1.6T)","2025–наст.","1555","Компактный кроссовер, 1.6T (180 л.с.). Масса: 3,428 lbs (1,555 кг)"
"Hyundai","Tucson Hybrid","2025–наст.","1778","Гибридный кроссовер, 1.6T + э/м (226 л.с.). Масса: 1,778 кг (3,920 lbs)"
"Hyundai","Kona (2.0 MPI)","2025–наст.","1363","Субкомпактный кроссовер, 2.0L (147 л.с.). Масса: 3,005 lbs (1,363 кг)"
"Hyundai","Kona (1.6T)","2025–наст.","1430","Субкомпактный кроссовер, 1.6T (190 л.с.). Масса: 3,153 lbs (1,430 кг)"
"Hyundai","Kona Electric","2025–наст.","1620","Электрический кроссовер, батарея 64.8 кВт·ч, запас хода 420 км. Масса: 3,571 lbs (1,620 кг)"
"Hyundai","Venue (1.6 MPI)","2025–наст.","1185","Субкомпактный кроссовер, 1.6L (121 л.с.), CVT. Масса: 2,612 lbs (1,185 кг)"
"Hyundai","Creta (2.0 MPI)","2025–наст.","1660","Компактный кроссовер для развивающихся рынков, 2.0L (149 л.с.)"
"Hyundai","Ioniq 5 (RWD, Standard Range)","2025–наст.","1880","Электрический кроссовер, батарея 58 кВт·ч. Масса: 1,880–2,135 кг"
"Hyundai","Ioniq 5 (AWD, Long Range)","2025–наст.","2135","Полноприводный электрический кроссовер, батарея 77.4 кВт·ч, запас хода 488 км"
"Hyundai","Ioniq 5 N","2025–наст.","2204","Спортивный электрокроссовер, 641 л.с., разгон 0-100 за 3.4 с. Масса: 4,861 lbs (2,204 кг)"
"Hyundai","Ioniq 6 (RWD, Long Range)","2025–наст.","1985","Электрический седан, 225 л.с., батарея 77.4 кВт·ч, запас хода 581 км. Масса: 4,376 lbs (1,985 кг)"
"Hyundai","Nexo (Fuel Cell)","2025–наст.","1810","Водородный электромобиль (FCEV), запас хода 611 км (WLTP). Масса: 3,990 lbs (1,810 кг)"
"Hyundai","Staria (3.5 V6, 7-местный)","2025–наст.","2200","Минивэн/фургон, 3.5 V6 (272 л.с.). Масса: ~2,200 кг"
"iCar","03 (базовая версия)","2023–наст.","1679","Электрический компактный кроссовер, задний привод"
"iCar","03 (полноприводная версия)","2023–наст.","1854","Электрический компактный кроссовер, полный привод"
"iCar","03T (задний привод)","2024–наст.","1817","Внедорожная версия 03, задний привод"
"iCar","03T (полный привод)","2024–наст.","1914","Внедорожная версия 03, полный привод"
"iCar","V23 (задний привод)","2024–наст.","1710","Компактный кроссовер с ретро-дизайном, задний привод"
"iCar","V23 (полный привод)","2024–наст.","1825","Компактный кроссовер с ретро-дизайном, полный привод"
"iCar","V27 (гибрид)","2025–наст.","2084","Флагманский гибридный внедорожник, масса варьируется до 2300 кг в зависимости от комплектации"
"iCar","GT (концепт)","2023 (концепт)","Н/Д","Концепт электрического спорткара"
"iCar","X25 (концепт)","2024 (концепт)","Н/Д","Концепт компактного фургона повышенной проходимости"
"IKCO","Paykan","1967–2005","953","Первый иранский автомобиль, лицензионный Hillman Hunter. Масса: 953 кг (салун)"
"IKCO","Peugeot ROA","2000–2011","1090","Разработан на базе Peugeot RD1600, сочетает элементы Paykan и Peugeot 405. Масса: 1,090 кг"
"IKCO","Peugeot 206","2001–наст.","1025","Выпускается по лицензии Peugeot, масса: 1,025–1,145 кг в зависимости от версии"
"IKCO","Samand (XU7)","2002–наст.","1200","Национальный автомобиль Ирана на платформе Peugeot 405. Масса с двигателем XU7: 1,200 кг"
"IKCO","Samand (TU5)","2002–наст.","1220","Samand с двигателем TU5, масса: 1,220 кг"
"IKCO","Samand (EF7)","2002–наст.","1360","Samand с двухтопливным двигателем EF7, масса: 1,360 кг"
"IKCO","Samand Soren (XU7)","2007–наст.","1220","Рестайлинговая версия Samand, масса с XU7: 1,220 кг"
"IKCO","Samand Soren (TU5)","2007–наст.","1200","Soren с двигателем TU5, масса: 1,200 кг"
"IKCO","Samand Soren (EF7)","2007–наст.","1274","Soren с двигателем EF7, масса: 1,274 кг"
"IKCO","Samand Sarir","2007–наст.","1350","Удлинённая люксовая версия Samand, масса оценочная: ~1,350 кг"
"IKCO","Peugeot Pars","2002–наст.","1190","Улучшенная версия Peugeot 405. Масса: 1,190 кг"
"IKCO","Runna","2011–наст.","1133","Седан на базе Peugeot 206, собственная разработка. Масса: 1,133 кг"
"IKCO","Dena","2015–наст.","1258","Семейный автомобиль, преемник Soren. Масса: 1,258 кг"
"IKCO","Dena+","2017–наст.","1379","Обновлённая версия Dena с турбодвигателем и АКПП. Масса: 1,379 кг"
"IKCO","Tara (МКПП)","2021–наст.","1170","Компактный седан на платформе Peugeot 301. Масса: 1,170 кг"
"IKCO","Tara (АКПП)","2021–наст.","1234","Tara с автоматической коробкой передач, масса: 1,234 кг"
"IKCO","Bardo","1969–2007","1100","Пикап на базе Paykan, масса оценочная: ~1,100 кг"
"IKCO","Arisun","2015–наст.","1140","Компактный пикап на базе Peugeot 405. Масса: 1,140 кг"
"IKCO","Arisun 2","2022–наст.","1140","Модернизированная версия Arisun с двигателем XU7. Масса: 1,140 кг"
"IKCO","Reera","2022–наст.","1435","Первый иранский кроссовер (C-сегмент). Масса: 1,435 кг"
"IKCO","Peugeot 207i","2010–наст.","1051","Модернизированная версия Peugeot 206, масса: 1,051–1,116 кг в зависимости от КПП"
"Infiniti","Q50 (2.0t RWD)","2013–наст.","1693","Компактный спортивный седан, 2.0T (208 л.с.). Масса: 3,732 lbs."
"Infiniti","Q50 (3.0t Red Sport 400 RWD)","2013–наст.","1748","Седан, 3.0T (400 л.с.). Масса: 3,853 lbs."
"Infiniti","Q50 Hybrid","2014–2024","1779","Гибридный седан, 3.5 V6 + э/м (360 л.с.). Масса: 3,922 lbs."
"Infiniti","Q70 (3.7 RWD)","2013–2019","1758","Бизнес-седан, 3.7 V6 (330 л.с.). Масса: 3,858–3,876 lbs."
"Infiniti","Q70L (3.7 RWD)","2015–2019","1795","Удлинённая версия Q70. Масса: 3,957 lbs."
"Infiniti","Q70 (5.6 V8 AWD)","2013–2019","1923","Бизнес-седан, 5.6 V8 (420 л.с.), полный привод. Масса: 4,239 lbs."
"Infiniti","G37 Sedan (RWD)","2009–2015","1646","Предшественник Q50, 3.7 V6 (328 л.с.). Масса: 3,628 lbs."
"Infiniti","Q40 (RWD)","2015","1644","Переименованный G37 Sedan. Масса: 3,624–3,821 lbs."
"Infiniti","M35 (RWD)","2006–2013","1753","Предшественник Q70, 3.5 V6. Масса: 3,864 lbs."
"Infiniti","M35h (гибрид)","2012–2013","1873","Гибридная версия M-серии. Масса: 4,129 lbs."
"Infiniti","Q45 (3-е поколение)","2002–2006","1804","Флагманский седан, 4.5 V8. Масса: 3,977 lbs."
"Infiniti","Q60 (2.0t RWD)","2017–2022","1696","Спортивное купе, 2.0T (208 л.с.). Масса: 3,739 lbs."
"Infiniti","Q60 (3.0t AWD, Red Sport 400)","2017–2022","1836","Полноприводное купе, 3.0T (400 л.с.). Масса: 4,048 lbs."
"Infiniti","G37 Coupe (RWD)","2008–2015","1709","Предшественник Q60, 3.7 V6 (330 л.с.). Масса: 3,769 lbs."
"Infiniti","G37 Convertible","2009–2013","1858","Кабриолет, жёсткая складная крыша. Масса: 4,095 lbs."
"Infiniti","QX50 (2.0T VC-Turbo FWD)","2018–наст.","1741","Компактный кроссовер, вариатор. Масса: 3,838 lbs."
"Infiniti","QX50 (AWD)","2018–наст.","1823","Полноприводная версия. Масса: 4,020 lbs."
"Infiniti","QX55 (AWD)","2022–наст.","1846","Купеобразный кроссовер на базе QX50. Масса: 4,070–4,123 lbs."
"Infiniti","QX60 (FWD)","2013–наст.","1993","Трёхрядный кроссовер, 3.5 V6 (295 л.с.). Масса: 4,393 lbs."
"Infiniti","QX60 (AWD)","2013–наст.","2004","Полноприводная версия. Масса: 4,419 lbs."
"Infiniti","QX80 (RWD)","2011–наст.","2576","Полноразмерный рамный внедорожник, 5.6 V8 (400 л.с.). Масса: 5,678 lbs."
"Infiniti","QX80 (AWD, топ-версии)","2011–наст.","2785","Топ-версии с полным приводом. Масса: 5,878–6,140 lbs."
"Infiniti","QX30 (FWD)","2017–2019","1490","Компактный кроссовер на базе Mercedes-Benz GLA. Масса: 3,285 lbs."
"Infiniti","QX30 (AWD)","2017–2019","1613","Полноприводная версия. Масса: 3,556 lbs."
"Infiniti","EX35 (RWD)","2008–2013","1716","Предшественник QX50, 3.5 V6. Масса: 3,782 lbs."
"Infiniti","EX35 (AWD)","2008–2013","1791","Полноприводная версия. Масса: 3,949 lbs."
"Infiniti","FX37 (RWD)","2012–2017","1885","Спортивный кроссовер, предшественник QX70. Масса: 4,156 lbs."
"Infiniti","FX37 (AWD)","2012–2017","1960","Полноприводная версия. Масса: 4,321 lbs."
"Infiniti","QX70 (3.7 RWD)","2013–2017","1909","Переименованный FX37. Масса: 4,209 lbs."
"Infiniti","QX70 (5.0 V8 AWD)","2013–2017","2069","Топ-версия с 5.0 V8 (390 л.с.). Масса: 4,562 lbs."
"Infiniti","JX35 (FWD)","2013","1941","Предшественник QX60, 3.5 V6. Масса: 4,280 lbs."
"Infiniti","JX35 (AWD)","2013","2004","Полноприводная версия. Масса: 4,419 lbs."
"Infiniti","QX4","1997–2002","1972","Рамный внедорожник, предшественник QX80. Масса: 4,275–4,352 lbs."
"Isuzu","D-Max (I поколение, 2.5 дизель)","2004–2012","1750","Среднеразмерный пикап, масса от 1750 до 1845 кг"
"Isuzu","D-Max (II поколение, 1.9 дизель)","2012–2021","2055","Среднеразмерный пикап, масса от 2025 до 2055 кг"
"Isuzu","D-Max (III поколение, 1.9 дизель)","2021–наст.","2105","Среднеразмерный пикап, масса от 2105 до 2235 кг"
"Isuzu","MU-X (1.9 дизель, 4x4)","2013–наст.","2005","Рамный внедорожник, 7 мест, масса 2005-2140 кг"
"Isuzu","MU-X (2.5 дизель, 4x2)","2013–наст.","1980","Рамный внедорожник, масса 1980-2105 кг"
"Isuzu","Trooper (3.0 V6, 1994)","1994–1998","1990","Внедорожник, масса 1990-2100 кг"
"Isuzu","Trooper (3.5 V6, 2000)","1998–2002","2090","Внедорожник, масса до 2090 кг"
"Isuzu","Ascender (5-Passenger, 4.2 I6)","2003–2008","2005","Полноразмерный внедорожник, масса от 2005 до 2172 кг"
"Isuzu","Ascender (7-Passenger, 5.3 V8)","2003–2008","2273","Полноразмерный внедорожник, масса до 2273 кг"
"Isuzu","VehiCROSS","1997–2001","1794","Футуристичный компактный внедорожник, 3.5 V6 (215 л.с.)"
"Isuzu","Elf (N-Series) NPR","1959–наст.","2555","Среднетоннажный грузовик, кербовая масса от 2545 до 2750 кг"
"Isuzu","Elf (N-Series) NKR","1959–наст.","1865","Среднетоннажный грузовик, кербовая масса от 1865 до 2785 кг"
"Isuzu","F-Series","1970–наст.","6500","Тяжёлый грузовик, снаряжённая масса от 5000 кг"
"Iveco","Daily (фургон, 35S14, L2H2)","1978–наст.","1845","Лёгкий фургон, 2.3 дизель (140 л.с.), полная масса 3.5 т. Масса: 1,845–2,100 кг"
"Iveco","Daily (шасси, 50C18, L3)","1978–наст.","2200","Шасси, 3.0 дизель (180 л.с.), полная масса 5.2 т. Масса: 2,200–2,500 кг"
"Iveco","Daily Hi-Matic (35S14, L3H2)","2014–наст.","1950","Фургон с 8-ст. АКПП Hi-Matic, 2.3 дизель (140 л.с.). Масса: 1,950–2,150 кг"
"Iveco","eDaily (электрический, 42S14, L2H2)","2022–наст.","2400","Электрический фургон, батарея 37/74 кВт·ч, запас хода до 240 км. Масса: 2,400–2,700 кг"
"Iveco","Daily 4x4 (55S18W, L3)","1990–наст.","2600","Полноприводный фургон, 3.0 дизель (180 л.с.), блокировки. Масса: 2,600–2,900 кг"
"Iveco","Eurocargo (ML120E25, 4x2)","1991–наст.","4500","Среднетоннажный грузовик, 6.7 дизель (250 л.с.), полная масса 12 т. Масса: 4,500–5,500 кг"
"Iveco","Eurocargo (ML160E28, 4x2)","1991–наст.","5000","Грузовик, 6.7 дизель (280 л.с.), полная масса 16 т. Масса: 5,000–6,000 кг"
"Iveco","Eurocargo CNG (ML120E25 CNG)","2015–наст.","4800","Газомоторный грузовик (CNG), 6.7 л (250 л.с.). Масса: 4,800–5,800 кг"
"Iveco","S-Way (AS440S46T/P, 4x2)","2019–наст.","7200","Магистральный тягач, 11.1 дизель (460 л.с.), полная масса автопоезда до 44 т. Масса: 7,200–7,800 кг"
"Iveco","S-Way (AS440S49T/P LNG)","2021–наст.","7800","Газомоторный тягач (LNG), 12.9 л (490 л.с.). Масса: 7,800–8,500 кг"
"Iveco","Stralis (AT440S42T/P, 4x2)","2002–2019","7000","Предшественник S-Way, 11.1 дизель (420 л.с.). Масса: 7,000–7,600 кг"
"Iveco","Trakker (AD380T41W, 8x4)","2004–наст.","12000","Тяжёлый внедорожный грузовик, 12.9 дизель (410 л.с.), полная масса 38 т. Масса: 12,000–14,000 кг"
"Iveco","S-Way (AS440S53T/P, 4x2)","2021–наст.","7200","Магистральный тягач, 12.9 дизель (530 л.с.). Масса: 7,200–7,800 кг"
"JAC","JS2","2020–наст.","1210","Компактный бюджетный кроссовер, 1.5L (113 л.с.), масса от 1210 до 1310 кг"
"JAC","JS3","2017–наст.","1265","Субкомпактный кроссовер, 1.6L (109–118 л.с.), масса от 1265 до 1310 кг"
"JAC","JS4","2020–наст.","1365","Компактный кроссовер, 1.5T (136–150 л.с.), вариатор, масса от 1365 до 1410 кг"
"JAC","JS6","2021–наст.","1560","Флагманский среднеразмерный кроссовер, 2.0T (190–197 л.с.), 7-ст. DCT, масса от 1560 до 1640 кг"
"JAC","JS7","2019–наст.","1580","Среднеразмерный кроссовер, 1.5T (174 л.с.), 6-ст. DCT, масса от 1580 до 1660 кг"
"JAC","J7","2019–наст.","1440","Лифтбек C-сегмента, 1.5T (150 л.с.), вариатор CVT, масса от 1440 до 1480 кг"
"JAC","iEVA50","2018–наст.","1650","Электрический седан на базе J7, запас хода до 500 км, масса от 1650 до 1800 кг"
"JAC","T6","2015–наст.","1770","Среднеразмерный пикап, 2.0T бензин/1.9T дизель, масса от 1770 до 1900 кг"
"JAC","T8","2018–наст.","1880","Среднеразмерный пикап, 2.0T дизель (177 л.с.), полный привод, масса от 1880 до 1995 кг"
"JAC","T8 Pro","2021–наст.","1920","Обновлённый пикап T8, 2.0T дизель, масса от 1920 до 2020 кг"
"JAC","T9 (Hunter)","2022–наст.","1985","Флагманский рамный пикап, 2.0T дизель (170 л.с.), 8-ст. АКПП, масса от 1985 до 2085 кг"
"JAC","iEV6E","2016–наст.","1175","Городской электрический хэтчбек, батарея 35–41 кВт·ч, запас хода до 310 км, масса от 1175 до 1260 кг"
"JAC","iEV7S","2017–наст.","1460","Субкомпактный электрический кроссовер, батарея 39–42 кВт·ч, запас хода 280–320 км, масса от 1460 до 1490 кг"
"JAC","iEV7","2019–наст.","1380","Электрический хэтчбек C-сегмента, батарея 50 кВт·ч, запас хода до 400 км, масса от 1380 до 1430 кг"
"JAC","e-JS4","2021–наст.","1665","Электрическая версия JS4, батарея 55 кВт·ч, запас хода до 420 км, масса от 1665 до 1710 кг"
"JAC","Refine M4","2016–наст.","2000","Коммерческий минивэн, 2.0T бензин/1.9T дизель, масса от 2000 до 2150 кг"
"JAC","Sunray","2010–наст.","2200","Коммерческий фургон/микроавтобус, дизель 2.7–2.8 л, масса от 2200 до 2550 кг"
"Jaecoo","J5 (1.6 TGDi, 147 л.с.)","2025–наст.","1446","Компактный кроссовер, 1.6T (147 л.с.), 7-ст. DCT, передний привод"
"Jaecoo","J5 EV (211 л.с.)","2025–наст.","1707","Электрический кроссовер, батарея 60.9 кВт·ч, запас хода 402 км"
"Jaecoo","J6 (1.5T, 147 л.с.)","2025–наст.","1439","Компактный кроссовер для РФ на базе J5, 1.5T (147 л.с.), 6-ст. робот"
"Jaecoo","J6 EV (279 л.с., AWD)","2024–наст.","1874","Электрический кроссовер, 2 э/м (279 л.с.), полный привод, батарея 69.77 кВт·ч, масса 1874-1892 кг"
"Jaecoo","J7 (1.6T, 186 л.с., 2WD)","2023–наст.","1619","Среднеразмерный кроссовер, 1.6T (186 л.с.), 7-ст. DCT, передний привод"
"Jaecoo","J7 (1.6T, 194 л.с., AWD)","2023–наст.","1709","Среднеразмерный кроссовер, 1.6T (194 л.с.), 7-ст. DCT, полный привод"
"Jaecoo","J7 PHEV","2024–наст.","1795","Подключаемый гибрид, 1.5T + э/м (341 л.с.), запас хода на электротяге до 106 км, масса 1795-1870 кг"
"Jaecoo","J8 (2.0T, 249 л.с., AWD)","2024–наст.","1719","Флагманский кроссовер, 2.0T (249 л.с.), 7-ст. DCT, полный привод, масса 1719-1929 кг"
"Jaecoo","J8 PHEV (1.5T, AWD)","2025–наст.","2229","Подключаемый гибридный кроссовер, 1.5T + э/м, полный привод, масса 2229 кг"
"Jaecoo","J9","2026 (план)","","Полноразмерный рамный внедорожник, будущий флагман. Данные о массе не раскрыты"
"Jaguar","F-Pace (2.0T, AWD)","2016–наст.","1832","Популярный среднеразмерный кроссовер. Масса: 1,832 кг (4,015–4,395 lbs)."
"Jaguar","E-Pace (2.0T, AWD)","2018–наст.","1757","Компактный кроссовер. Масса: 1,757–1,830 кг (3,925–4,175 lbs)."
"Jaguar","I-Pace (EV, AWD)","2019–наст.","2208","Полностью электрический кроссовер. Масса: 2,208–2,170 кг (4,784 lbs)."
"Jaguar","XF (2.0T, RWD)","2008–наст.","1658","Бизнес-седан. Масса: 1,658–1,762 кг (3,655–4,380 lbs)."
"Jaguar","F-Type (2.0T Coupe)","2013–наст.","1524","Спорткар. Масса: 1,524–1,596 кг (3,360–3,760 lbs)."
"Jaguar","XJ (5.0 V8, SWB)","1968–2019","1740","Флагманский седан, последнее поколение (X351). Масса: 1,740–1,762 кг (3,915–4,150 lbs)."
"Jaguar","XE (2.0T)","2015–2024","1535","Компактный спортивный седан. Масса: 1,535–1,585 кг (3,385–3,670 lbs)."
"Jaguar","XK (4.2 V8 Coupe)","2006–2014","1665","Спортивное купе второго поколения с алюминиевым кузовом. Масса: 1,665–1,700 кг (3,671–3,759 lbs)."
"Jaguar","S-Type (3.0 V6)","1999–2008","1620","Бизнес-седан в ретро-стиле. Масса: 1,620–1,684 кг (3,695–4,046 lbs)."
"Jaguar","X-Type (2.5 V6, AWD)","2001–2009","1485","Компактный седан и универсал, построенный на платформе Ford Mondeo. Масса: 1,485–1,575 кг (3,428–3,747 lbs)."
"Jaguar","E-Type (3.8, Series 1)","1961–1975","1220","Легендарный спорткар. Масса: 1,220–1,300 кг (2,690–3,086 lbs)."
"Jetta","VA3 (1.5 MT)","2019–наст.","1125","Бюджетный седан, 1.5L (112 л.с.), 5-ст. МКПП"
"Jetta","VA3 (1.5 AT)","2019–наст.","1165","Бюджетный седан, 1.5L (112 л.с.), 6-ст. АКПП"
"Jetta","VS5 (1.4T MT)","2019–наст.","1310","Компактный кроссовер, 1.4T (150 л.с.), 6-ст. МКПП"
"Jetta","VS5 (1.4T AT)","2019–наст.","1355","Компактный кроссовер, 1.4T (150 л.с.), 6-ст. АКПП"
"Jetta","VS7 (1.4T AT)","2020–наст.","1425","Среднеразмерный кроссовер, 1.4T (150 л.с.), 6-ст. АКПП"
"Jeep","Wrangler (JL, 2-дв., Sport)","2018–наст.","1791","Классический рамный внедорожник, 3.6 V6 (285 л.с.), 6-ст. МКПП или 8-ст. АКПП"
"Jeep","Wrangler (JL, 4-дв., Rubicon 392)","2021–2024","2315","Рамный внедорожник, 6.4 V8 (470 л.с.), 8-ст. АКПП, полный привод"
"Jeep","Wrangler 4xe (PHEV)","2021–наст.","2310","Подзаряжаемый гибрид, 2.0T + э/м (375 л.с.), запас хода на электротяге 34 км"
"Jeep","Grand Cherokee (WL74, 3.6 V6, RWD)","2021–наст.","1980","Среднеразмерный кроссовер, 3.6 V6 (293 л.с.), 8-ст. АКПП, задний привод"
"Jeep","Grand Cherokee (WL74, 3.6 V6, 4WD)","2021–наст.","2008","Среднеразмерный кроссовер, 3.6 V6 (293 л.с.), полный привод"
"Jeep","Grand Cherokee 4xe (PHEV)","2021–наст.","2540","Подзаряжаемый гибридный кроссовер, 2.0T + э/м (375 л.с.), запас хода на электротяге 42 км"
"Jeep","Grand Cherokee L (3-рядный, 3.6 V6)","2021–наст.","2052","Удлиненный 3-рядный кроссовер, 3.6 V6 (293 л.с.), 8-ст. АКПП"
"Jeep","Grand Cherokee L (3-рядный, 5.7 V8)","2021–наст.","2168","Удлиненный 3-рядный кроссовер, 5.7 V8 (357 л.с.), полный привод"
"Jeep","Cherokee (KM, новое поколение)","2025–наст.","1948","Компактный кроссовер нового поколения на платформе STLA Large"
"Jeep","Compass (2.4, FWD)","2017–наст.","1444","Компактный кроссовер, 2.4L (180 л.с.), передний привод"
"Jeep","Compass (2.4, 4WD)","2017–наст.","1650","Компактный кроссовер, 2.4L (180 л.с.), полный привод"
"Jeep","Renegade (1.0 T-GDI)","2015–наст.","1320","Субкомпактный кроссовер, 1.0T (120 л.с.), передний привод"
"Jeep","Renegade (2.4, 4WD)","2015–наст.","1650","Субкомпактный кроссовер, 2.4L (180 л.с.), полный привод"
"Jeep","Wagoneer (WS, Series II)","2022–наст.","2713","Полноразмерный 3-рядный внедорожник, 3.0T (420 л.с.), 8-ст. АКПП, полный привод"
"Jeep","Grand Wagoneer (WS)","2022–наст.","2908","Премиальный полноразмерный внедорожник, 3.0T (510 л.с.), 8-ст. АКПП"
"Jeep","Grand Wagoneer L (удлиненная)","2023–наст.","2712","Удлиненная версия Grand Wagoneer с 3.0T (510 л.с.)"
"Jeep","Gladiator (JT, Sport)","2019–наст.","2130","Среднеразмерный пикап на базе Wrangler, 3.6 V6 (285 л.с.), 6-ст. МКПП"
"Jeep","Gladiator (JT, Rubicon)","2019–наст.","2315","Среднеразмерный пикап, 3.6 V6 (285 л.с.), 8-ст. АКПП, полный привод"
"Jeep","Avenger (электрический)","2022–наст.","1536","Субкомпактный электрический кроссовер, 156 л.с., батарея 54 кВт·ч, запас хода до 400 км"
"Jeep","Wagoneer S (электрический)","2024–наст.","2570","Полноразмерный электрический кроссовер, 600 л.с., батарея 100.5 кВт·ч, запас хода 480 км"
"Jeep","Recon (электрический)","2025–наст.","2772","Среднеразмерный электрический внедорожник, 650 л.с., батарея 100.5 кВт·ч, запас хода 370 км"
"Jetour","X50 (1.5T, 147 л.с.)","2024–наст.","1485","Компактный городской кроссовер. Масса: 1,373–1,485 кг."
"Jetour","Dashing (1.6T, 190 л.с.)","2022–наст.","1530","Городской кроссовер. Масса: 1,530–1,580 кг (PHEV: 1,800–1,810 кг)."
"Jetour","X70 (1.5T, 156 л.с.)","2018–наст.","1634","Базовый среднеразмерный кроссовер. Масса: 1,418–1,634 кг."
"Jetour","X70 Plus (1.6T, 190 л.с.)","2021–наст.","1662","Обновлённая версия X70. Масса: 1,472–1,662 кг."
"Jetour","X70 Plus C-DM (PHEV)","2023–наст.","1872","Подключаемый гибрид. Масса: 1,858–1,872 кг."
"Jetour","X70L","2025–наст.","1654","Удлинённая версия X70 с 3 рядами. Масса: 1,654–1,727 кг."
"Jetour","X90 (1.6T, 197 л.с.)","2019–наст.","1742","Среднеразмерный кроссовер. Масса: 1,560–1,742 кг (гибрид: 1,870–1,922 кг)."
"Jetour","X90 Plus (2.0T, 254 л.с.)","2021–наст.","1790","Улучшенная версия X90. Масса: 1,543–1,790 кг."
"Jetour","X90 Pro (2.0T)","2023–наст.","1742","Премиальная версия X90. Масса: 1,653–1,742 кг."
"Jetour","X95 (1.6T, 197 л.с.)","2020–наст.","1653","Флагманский кроссовер с 3 рядами."
"Jetour","T1 (1.5T, 154 л.с.)","2024–наст.","1811","Компактный внедорожник. Масса: 1,619–1,811 кг (гибрид: 2,000 кг)."
"Jetour","T2 (2.0T, 245 л.с., 4WD)","2023–наст.","1934","Среднеразмерный внедорожник. Масса: 1,700–1,934 кг."
"Jetour","T2 Traveler (удлинённый)","2026–наст.","2041","Удлинённая версия T2 с 3 рядами."
"Jetour","Shanhai T2 (PHEV)","2024–наст.","2194","Гибридная версия T2. Масса: 2,050–2,194 кг."
"Jetour","Shanhai L9 (PHEV)","2023–наст.","1922","Подключаемый гибрид на базе X90 Pro. Масса: 1,870–1,922 кг."
"Jetour","Ziyouzhe (1.5T, 2WD)","2024–наст.","1656","Гибридный кроссовер."
"JMC","Baodian (2.8 MT)","2007–наст.","1670","Классический среднеразмерный пикап, 2.8 л турбодизель (84 л.с.), полный привод, 5-ст. МКПП"
"JMC","Baodian (базовая версия)","2007–наст.","1460","Классический пикап, 2.0 л бензин (114 л.с.), задний привод"
